Chinese Name,English Name
[SP]双头雪怪,[SP]Two-Headed Snow Ogre
[SP]雪狼,[SP]Snow Wolf
[AB]暗黑骨龙,[AB]Dark Bone Dragon
[AB]淤泥怪物,[AB]Sludge Monster
[AB]蛛网怪女皇,[AB]Spider Queen
[AB]蛛网怪首领,[AB]Spiderweb Monster Leader
[AP]巨型蜘蛛,[AP]Giant Spider
[AP]血浴之母,[AP]Bloodbath Matron
[AP]亡灵骷髅箭手,[AP]Skeletal Archer
[AP]亡灵骷髅战士,[AP]Skeleton Warrior
[OT]石头人,[OT]Rock Golem
[ZZ]无敌狂暴者,[ZZ]Invincible Berserker
[ZZ]毒性树人,[ZZ]Toxic Treant
[SB]冰龙,[SB]Frost Wyrm
[ZZ]痛苦少女,[ZZ]Maiden of Pain
[ZZ]穆格尔影子法师,[ZZ]Mogul Shadow Sorceress
[ZZ]花岗岩傀儡,[ZZ]Granite Golem
[HB]火凤凰,[HB]Fire Phoenix
[SP]灰熊,[SP]Grizzly Bear
[SB]三角猛犸象,[SB]Trigon Mammoth
[SB]冰熊王,[SB]Ice Bear King
[SP]风暴女妖,[SP]Storm Banshee
[ZZ]远古雪怪,[ZZ]Ancient Wendigo
[S]魔族小队长,[S]Demon Squad Leader
[ZZ]恶男,[ZZ]Evil Male
[D]魔族精锐营,[D]Demon Elite Camp
[BOSS-5]破坏之王巴尔,[BOSS-5] King Bar the Destroyer
[BOSS-4]折磨女王安达瑞尔,[BOSS-4] Torment Queen Andariel
[BOSS-2]憎恨之王莫菲斯妥,[BOSS-2] King of Hatred Mephisto
[BOSS-1]罪恶之王阿斯莫顿,[BOSS-1] Lord of Sin Azmodan
[ZB]三头蛇兽,[ZB]Hydra Beast
[ZP]三头小蛇兽,[ZP]Hydra Hatchling
[ZB]赤龙,[ZB]Red Dragon
[ZB]沼泽蛙怪首领,[ZB]Swamp Murloc Leader
[ZB]沼泽蛙怪巫师,[ZB]Bogstrok Shaman
[ZB]沼泽螃蟹,[ZB]Mud Crab
[ZP]沼泽小螃蟹,[ZP]Mudcrab Whelp
[ZP]沼泽蛙怪,[ZP]Bogstrok
[OT]一棵树,[OT]A Tree
[OT]精灵树精,[OT]Treant Protector
[OT]黑龙,[OT]Black Drake
[OT]风暴雷龙,[OT]Storm Dragon
[OT]森林巨龟,[OT]Giant Sea Turtle
[OT]森林蓝蜥,[OT]Forest Blue Lizard
[OT]阿卡那瑟德毒蝎,[OT]Akanathered Venomscorpion
[OT]山地野猪,[OT]Mountain Boar
[BOSS-3]痛苦之王都瑞尔,[BOSS-3] King Duriel of Agony
[技能配件]裂地之牙,[Skill Component] Earthsplitter Tusk
[技能配件]传送点,[Teleportation Node]
[技能配件]罡风雷暴,[Skill Accessory] Tempest of Ethereal Winds
[技能配件]战神技能-配件,[Skill Accessory] Ares Skill - Accessory
[技能配件]战神技能-配件2,[Skill Accessory] Ares Skill - Accessory 2
[技能配件]破坏之王的戳魂战槊,[Artifact of Kings] Soul-Piercing War Pike
[W]黑色城堡,[W]Black Citadel
[U]前线要塞,[U]Frontline Fortress
[U]防御塔,[U]Guard Tower
[U]兵营,[U]Barracks
[U]技能教导,[U] Skill Instructor
[U]药水商店,[U]Potion Shop
[U]武术指导,[U]Martial Arts Instructor
[W]幽魂之塔,[W]Spirit Tower
[W]地穴,[W]Crypt
[W]诅咒神庙,[W]Cursed Temple
[U]步兵,[U]Footman
[U]火枪手,[U]Rifleman
[W]魔族禁卫军,[W]Demon Guard
[W]魔族巫师,[W]Demon Wizard
[U]回复之泉,[U]Healing Fountain
[U]骑士,[U]Knight
[W]领主,[W]Lord
[W]血恶魔,[W]Blood Fiend
[U]狮鹫骑士,[U]Gryphon Knight
[U]角鹰兽骑士,[U]Hawk Knight
[W]石像鬼,[W]Gargoyle
[W]魔族重型步兵,[W]Demon Heavy Footman
[W]魔族精锐骑兵,[W]Fel Elite Cavalry
[U]军需工坊,[U]Workshop
[W]女妖女皇,[W] Banshee Queen
[E]魔族天骑兵,[E]Demonic Sky Rider
[Z]合成尸王,[Z]Composite Abomination
[Z]冰霜巨龙,[Z]Frost Wyrm
[Z]巴尔的技能配件,[Z]Baal's Skill Accessories
[U]炼金术师,[U]Alchemist
[神器秘技]电闪雷鸣-配件,[Artifact Mastery] Thunderclap Flash - Accessory
[Z]地狱火A,[Z]Infernal A
[Z]地狱火B,[Z]Infernal B
[Z]地狱火C,[Z]Infernal Juggernaut
[Z]地狱火D,[Z]Infernal Juggernaut
[Z]地狱火E,[Z]Infernal Juggernaut
[Z]魔族飞空攻城战舰,[Z]Dreadlord's Zeppelin
[E]魔族杀戮者,[E]Demon Slayer
[神器秘技]火神套装,[Artifact Mastery] Firelord's Regalia
[Z]地狱火F,[Z]Infernal Juggernaut
[木系]魅惑之花,[Wood] Enchanting Blossom
[木系]嗜血之花,[Wood] Bloodthirsty Blossom
[木系]虚弱之花,[Wood] Flower of Weakness
[木系]吸血者,[Wood] Vampire
[E]魔族天骑兵,[E]Demonic Sky Rider
